0,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
MMM,1.8604050743566003,-1.4014992835788536,0.26899607219457766,2.0000847486832414,2.0000847486832414,0.3905851430074915,0.49921365524108213,0.7402123440972609,0.317969998351581,0.3485806077652253,-0.4778213501186351,0.3759677166611807,0.3033357665655243,0.38647551509908007,0.7961258484580921,0.44782588274402957,0.4548851778443306,0.10842400664272558,0.09814025165600548,0.3877314584560018,0.3877560921967338,0.38647551509908007,0.38582374206402453,0.3898540083507086,0.3352998236832374,0.3732051700601536,1.1889750978345544,-0.3703934167596021,0.4703849239368999,0.2714198547120262,0.5630232036504358,0.43302115986890516,1.0125309528369737,0.7294983818503387,0.7621738789970458,0.763755748709604,0.3012808280148604
AOS,0.43581793900568605,0.27088685772553583,-0.4925426425541951,0.5981794852250862,0.5981794852250862,0.0930563031155878,-0.9791147634909699,-0.6897298124823508,-0.23017307564499248,-0.022153331636430074,-0.21184928008444104,-1.6418536796951262,-0.005671946147671296,0.08576938887356371,-1.0082537434813932,-0.6747314092425174,-0.6711707962118637,-0.24718596607267687,-0.23908480378539135,0.08698187272865396,0.08701866302038712,0.08576938887356371,0.08487251179169122,0.0921508939777267,-3.3273836745091616,0.051160976475868855,-1.0392512820616744,-0.003971970032971705,-1.640316371948699,0.01875319489408117,-0.43356673785458705,-0.04453650136145122,-1.221889361683677,-0.7194744181264541,-1.0919003583555245,-1.0839980403467506,-1.0957346854212844
ABT,-0.5032211381227488,-0.3892655664735651,0.4380668738884211,-0.3425800413764537,-0.3425800413764537,0.4075499177618363,0.7692251985595809,0.6901924590801646,0.3729304740831514,0.37677837985372903,-0.4741244028934973,0.47377693068253734,0.3792461452394847,0.40362145530615673,0.9281514857752047,1.4322930898820947,1.429152772959,-0.14874721930024712,-0.14325165200580148,0.40487987667717545,0.40490381726443164,0.40362145530615673,0.4027431521912386,0.40659081013639126,0.41631022972079224,0.39836651904371734,1.0794221813927518,-0.36530024757633844,0.5726962757528835,0.35956007212075686,0.7125805413140349,0.4785366226153869,1.465572798953691,0.7262166015805619,0.966179251843745,0.967065677228751,1.3812628482148959
ABBV,-0.9271151256739025,-1.0347479368015753,0.6217231622931986,-0.7346224865794694,-0.7346224865794694,0.4572936652085771,1.2133162589099875,0.6716500296841266,0.48633490375768146,0.4395090638113102,-0.5947765415483086,1.191514935439147,0.4470249109203017,0.45389641219465326,1.0125437864039628,1.4391563379679098,1.4455911676266566,-0.03718330629149341,-0.040009483369468954,0.45473220559500055,0.45475413110922663,0.45389641219465326,0.45309249904896,0.45639674498047,0.43363558961739046,0.44486065860341045,-1.1491360138436693,-0.5315189456181075,1.323471611707649,0.46831310209529214,0.8211220307577213,0.5351319601624563,1.9318562434451303,0.6600235934954591,1.2053344860441972,1.2054056429452984,1.8176642986102032
ACN,-0.817219424137451,0.7109884738582699,0.40499523737420623,-0.5937917925432439,-0.5937917925432439,0.4067979265838067,0.34333154616099515,1.2777527326551752,0.3500299870416586,0.3813749517062831,-0.1080995415015484,-0.8045311598954633,0.37950325985198086,0.402861433675369,1.2400210582574747,0.55589691708647,0.5517244644786592,0.1301625632216372,0.12375228118320011,0.40422013914002125,0.40414371651679964,0.402861433675369,0.4034988570493717,0.40733835879937375,0.46390558563914874,0.40814635753639933,-0.989593649149332,0.13896081724866194,-0.7644520705755824,0.37478389427544023,0.5517433998255158,0.46281910436980384,1.2641450521669353,1.2741927237336776,1.2549904191533332,1.2548923014097122,1.3797561675449983
ADBE,-0.74242812494024,0.27088685772553583,0.2990669987752633,-0.5368270339170705,-0.5368270339170705,0.3724978564825825,0.1446385019016396,-1.0314004940809418,0.28193100515392316,0.3361607135816418,-0.3321725576570579,-0.35817669936537155,0.33707429105138154,0.368195075909345,0.03657059761994603,0.2858561670711021,0.2934640431861036,0.10514271508364459,0.09503576322846673,0.36944837728889696,0.3694737500471346,0.368195075909345,0.36731470262257737,0.37154473385203,0.4070608623612033,0.36725368226300875,-0.9108980315190993,-0.16973760639238336,-0.2975520069889722,0.3172155440503236,0.5154072218329039,0.3676371408883401,1.0394366424952826,-0.7986191689026446,0.20448354729423715,0.2079665560420155,1.4869433463497903
AMD,0.43581793900568605,0.27088685772553583,0.23885142981127483,0.5981794852250862,0.5981794852250862,0.2532869887226791,0.8932075369912028,0.34410071438084183,0.24384549403267036,0.16390640873080223,-0.27551339805390324,-0.4831163803363863,0.1904251898465098,0.24771116496784867,0.5642396228304001,1.3316937898200412,1.3359707248052248,-0.2746667828799802,-0.26508489436602845,0.2489470534306305,0.24897729695364623,0.24771116496784867,0.2468237510970588,0.2523542208561159,-3.5598929338572485,0.211232034354106,-0.931278777789212,-0.09168004482423119,-0.42824263551003494,0.10616405660551176,0.515252929517027,0.18692775430835032,0.692798405936533,0.45539424083738994,0.4503056701251796,0.4529506832921351,1.7682753911255549
AES,-1.0157724498731893,0.27088685772553583,0.13093094065828134,-0.7766637767324054,-0.7766637767324054,-3.5709676417313934,0.24122923519084588,0.2934131198273564,0.07653590351450451,0.13167078084501105,-0.5213236864100692,0.8333421645507914,0.1231028150809885,-3.617382370306379,-0.05352062675453528,0.5892300903695209,0.5987909660169033,-0.3427535827309108,-0.3298910902908998,-3.616705083830473,-3.6165185873994248,-3.617382370306379,-3.611157704585467,-3.563988691284767,0.2513838135583053,-3.61560532185471,-1.1161573627666124,-0.43032523214851254,0.9488122226110065,0.1888177173650159,-0.8572570576275086,-0.26270299596078983,-0.6220742142958258,0.2767528494251753,-0.07501415352222732,-0.07057835079709238,-0.888455718460824
AFL,0.43581793900568605,-1.445509445192127,0.10964215246497944,-0.6444976218768781,-0.6444976218768781,0.3656415763464165,0.15782723482106634,0.3197985084225749,0.15057385653877003,0.31606192121467014,-0.43809456637241956,0.005529645406523285,0.3279295184671138,0.3612655781140641,0.20828329913311247,0.5488669567228786,0.5545381591078102,-0.024878462944939703,-0.027979590712756307,0.36251787800912383,0.3625435309039667,0.3612655781140641,0.36038479989595684,0.36468962439741875,0.30469463744371594,0.34706133846497117,1.0594671094577701,-0.31566306265808747,0.08289566524707773,0.1886046861921197,0.11960945407948712,0.18203643620490798,0.07156138091392543,0.30943814845413947,0.2749552963555704,0.27819807036122646,0.22558418563078295
A,0.43581793900568605,-0.3745955126024739,-0.03177811726092563,-0.6253790972648067,-0.6253790972648067,0.2485164814366883,-0.3186022894516705,-0.5142098391709958,0.06844971812655075,0.18823570154877364,-0.3596125303768462,-0.5072171695732353,0.18458683989201918,0.2428897138217276,-0.5908946507468059,-0.10576604363133923,-0.09935033130542711,-0.1376728602883488,-0.13547250251628554,0.24412490546510127,0.24415534390339022,0.2428897138217276,0.2420020182051707,0.24758452811456846,0.24554190205676216,0.23421267866032394,-0.9108980315190993,-0.2075408031747803,-0.4534527790668139,0.13927792782849072,-0.02173995722158228,0.12095750622156436,-0.272611251449489,-0.5416185055564364,-0.5876209045462805,-0.5814376505050836,-0.0475899241757887
APD,-0.7770150873040435,-0.13987465066501595,0.17450697172426757,-0.5764530343788538,-0.5764530343788538,0.30261707958233464,0.3530010077196855,0.24141144241012183,0.19929668200554526,0.2536136945999381,-0.3976453254788184,-0.2889976176999476,0.2538156932998381,0.2980944830941968,-0.052738999528839925,-0.3652311902943738,-0.35796110616858,0.10678336086318511,0.09619994638879374,0.2993376531974755,0.29936585989010106,0.2980944830941968,0.2976423465075705,0.3021059521266176,0.3151955854676567,0.292346908120271,1.1002582131659815,-0.25993740181963243,-0.22518862657133168,0.1928525675188429,-0.3091468466571065,0.010091540620151735,-0.3669416008110674,0.2240590982940293,-0.06960644015474028,-0.06518907205970341,0.3639104770537132
ABNB,-0.6924605291834106,-2.1056618693912283,0.0027901837745477713,-0.5886842706108731,-0.5886842706108731,0.28681800735042046,-0.9548918869383389,-1.0216593679765567,0.08400762983056048,0.2142388721887542,2.275514799801052,-1.1562405090819334,0.23644570808899587,0.28160025862212107,-0.4169514564848727,0.6046880006816608,0.5575209994115203,-0.194685301127381,-0.18281595103625153,0.2828410449004088,0.28286991839980524,0.28160025862212107,0.2807148250905271,0.28587951420072405,0.14958390303366106,0.26106209206979686,-0.9374996036523312,3.4227921430948514,-1.132350528012634,0.16018821193797092,0.290792471237955,0.1969756358706345,0.2966148184919359,-1.0558215180468657,-0.4163662418521443,-0.41076678657112514,0.7710533523638611
