,Name,Close,ChangeCode,Changes,ChagesRatio,Amount,Marcap,Stocks,BPS,PER,PBR,EPS,DIV,DPS
0,삼성전자,0.29591349289440877,0.5054232955997039,-0.31989626113763553,-0.9421407588199127,3.5105266790552574,4.225542537273508,3.6556307094087805,0.033643238156183676,-0.07695878314591348,-0.1327708384840693,-0.47764508123569843,-0.17277523104757928,-0.11023537989007634
1,SK하이닉스,1.156273842959664,2.56837552253727,0.3080310512964335,0.4041169325734283,2.632472704096775,3.2517764731978187,1.9430517092221973,0.34336679104275203,-0.10199265053701588,0.2702553308617925,-0.7129229961111375,-0.7697126444604394,-0.20880771357710182
2,LG에너지솔루션,1.6114495103808169,0.5054232955997039,-4.401423791959084,-1.7742935712992918,1.6018369826860284,2.7175629218037276,1.0192878384227988,0.4239312238899059,-0.056103138450577385,0.7468775833055941,-0.1291997037852593,-1.0345194669518585,-0.693589682529686
3,현대차,1.3766918608352734,0.5054232955997039,-0.7385144694270149,-0.25376303959613317,2.019536812559389,2.384144991318961,0.9289468705629017,1.5058449380424175,-0.09794211546183325,-0.3815956908628187,4.333020947367133,0.9268463199761104,3.9118390225198647
4,삼성바이오로직스,2.2664291751352783,0.5054232955997039,-4.401423791959084,-0.6502337513009682,1.1125519309841787,2.3362337948775833,0.05058821712913704,0.7858007278249849,-0.05919601637138233,1.2024723834356985,0.61759514192918,-1.0345194669518585,-0.693589682529686
5,기아,0.7161702002404354,0.5054232955997039,0.20337649922408865,0.2603418393178288,1.6940095478415078,2.2847089024637794,1.455367340302679,0.6612765979883919,-0.09809108435251424,-0.276458429294333,1.7345855993645707,1.025587847006809,1.5687261725823738
6,셀트리온,1.048650884419171,0.5054232955997039,-0.21524170906529072,-0.07949019928631561,1.3152195685853587,2.084950419903545,0.957874949533217,0.3838570247663754,-0.06823346240602797,0.12306316466591258,-0.2979020284824301,-0.9088484325491509,-0.4915971954661093
7,POSCO홀딩스,1.689136062896948,0.5054232955997039,-2.0466963703313255,-0.6197360042467501,1.754093408774553,1.905824879307891,0.19095890550048067,2.0508098303387596,-0.09013898309282996,-0.4586963493463748,1.7582127574046194,0.1638436111025298,3.3462600587418496
8,KB금융,0.3287776643290836,-1.5575289313378622,0.5696674314772955,0.9705036635803356,1.4382238896627124,1.902627925230121,1.4627684672823487,0.8511046897972927,-0.09721145852182658,-0.4586963493463748,0.5655933127849604,0.7248750146860449,0.5426043382994038
9,NAVER,1.0309950948170945,0.5054232955997039,-0.24140534708337694,-0.10998794634053362,1.7117801331500084,1.8138012178221727,0.7220465218522756,0.8699900766119684,-0.08332188290500071,-0.24141267543817116,0.02249989970552122,-0.7248301321737581,-0.20678778870646605
10,삼성SDI,1.7143128827312188,0.5054232955997039,-4.7938783622303776,-1.695870793159874,1.9611861551034284,1.750243642856921,0.022557857121056818,1.3211314779010799,-0.09290554820547658,-0.15379829079776644,2.604153341062815,-0.9178249350064874,-0.2896047084025325
11,LG화학,1.6809697489266893,0.5054232955997039,-5.05551474241124,-1.8788572754851824,1.9218555418838075,1.7396135703009723,0.043909426998336124,1.6259853416528252,-0.08661338601338028,-0.32552248469295963,1.1734957995536923,-0.6126238514570551,0.7203577269153514
12,삼성물산,0.80282493733715,0.5054232955997039,-0.6600235553727564,-0.7591542764946042,0.945590839589258,1.6631750945753676,0.795667594468055,1.1056072231714702,-0.09494145637811653,-0.41664144471898057,0.7837580991734483,-0.18623998473358364,0.33657200149455546
13,신한지주,-0.12533010103888592,0.5054232955997039,0.24262195625121796,0.16884859815517453,0.9561918592035213,1.649183923902191,1.6524206625422433,0.5730056648571247,-0.09791374043503688,-0.4867329524313043,0.17563479784359445,1.0031465908634685,0.15477876313733638
14,현대모비스,1.2183386412392212,0.5054232955997039,-0.08442351897485967,0.10785310404673835,1.0291517933917125,1.52103775650371,0.27399688997468696,1.6920920633156462,-0.0978924591649396,-0.4692100755032234,3.442696636923425,-0.10545146261755749,1.1243427010425049
15,포스코퓨처엠,1.3564923832255535,0.5054232955997039,-2.8316055108739113,-1.5520956999042745,1.356982423905675,1.4941475826159387,0.11950581498792331,-0.3808053244485998,0.38558252866180576,2.302909054519182,-0.6719618950230156,-0.9896369546651772,-0.5925934389978976
16,카카오,-0.17453220067688247,0.5054232955997039,-0.04517806194773035,-0.8985725487424584,1.0940841390484355,1.478171896800226,1.53935807617901,-0.6189531861669837,-0.10199265053701588,0.04596250618235635,-0.7129229961111375,-0.9716839497505046,-0.6689465991079296
17,LG전자,0.6301805096460158,-1.5575289313378622,0.621994707513468,0.8833672434254268,2.5327709123548936,1.4169031877889462,0.7282332253964592,0.6049648511225957,-0.0821656005630484,-0.28697215545118154,-0.2763726087730399,-0.7113653784877537,-0.37040170322796323
18,하나금융지주,0.12124011019720966,0.5054232955997039,0.25570377526026106,0.26469866032557426,0.7299054985365299,1.4119007045755427,1.2005054593305953,0.7772911828398336,-0.09816202191950517,-0.48322837704568816,0.5435118566727652,1.4474834625016124,0.679959229502636
19,삼성생명,0.40740259000744994,0.5054232955997039,-0.08442351897485967,-0.3452562807587874,0.20155527739244736,1.3680226974458847,0.8915023409819393,1.1993589865077057,-0.09624670761074981,-0.5147695555162338,0.4523154429293994,0.9088933150614379,0.8011547217407821
20,삼성화재,1.6089062019369655,0.5054232955997039,-0.4768780892461528,0.025073504899575005,0.43061561272983506,1.3183013157226124,-0.28069905165586356,1.563204451740675,-0.09633892644783804,-0.32552248469295963,4.009969244445718,1.0704703592934903,5.770169903504771
