,Code,Name,Close,ChangeCode,Changes,ChagesRatio,Amount,Marcap,Stocks,BPS,PER,PBR,EPS,DIV,DPS
45,352820,하이브,199300,2,-700,-0.35,34545628900,8301262932100,41652097,70090,44.25,2.84,4504,0.35,700
46,010140,삼성중공업,9400,2,-140,-1.47,33297728630,8272000000000,880000000,4027,0.0,2.33,0,0.0,0
47,010950,S-Oil,68400,2,-200,-0.29,14361993700,7700662972800,112582792,77629,8.39,0.88,8149,2.49,1700
48,047050,포스코인터내셔널,43500,2,-2400,-5.23,30710545950,7652641278000,175922788,35869,11.04,1.21,3939,2.3,1000
49,003490,대한항공,20650,2,-350,-1.67,19877151700,7603756649650,368220661,25793,7.21,0.8,2866,3.63,750
50,005830,DB손해보험,102600,1,1600,1.58,20481482700,7264080000000,70800000,170486,3.54,0.6,28955,5.17,5300
51,010120,LS ELECTRIC,231500,1,500,0.22,143214153000,6945000000000,30000000,58345,33.01,3.97,7012,1.21,2800
52,086280,현대글로비스,182400,2,-1600,-0.87,16226226583,6840000000000,37500000,206810,6.45,0.88,28297,3.45,6300
53,051900,LG생활건강,430000,2,-5000,-1.15,31195476500,6715824710000,15618197,324268,50.51,1.33,8513,0.81,3500
54,326030,SK바이오팜,82600,2,-1400,-1.67,5930079100,6468674450000,78313250,3622,0.0,22.81,0,0.0,0
55,011070,LG이노텍,247500,1,8000,3.34,106040289500,5857608982500,23667107,199226,10.36,1.24,23884,1.05,2610
56,006260,LS,180700,2,-2500,-1.36,105229531000,5818540000000,32200000,172545,11.38,1.05,15881,0.89,1600
57,241560,두산밥캣,57300,2,-1400,-2.39,10194286100,5744277211800,100249166,59457,6.23,0.96,9203,2.79,1600
58,251270,넷마블,66000,1,1600,2.48,12584643200,5672931132000,85953502,60774,0.0,1.09,0,0.0,0
59,000100,유한양행,69700,2,-600,-0.85,19468614700,5590571760800,80209064,27491,38.4,2.54,1815,0.65,450
60,047810,한국항공우주,56500,2,-2100,-3.58,78408801300,5507343545500,97475107,16388,24.59,3.45,2298,0.88,500
61,267250,HD현대,69600,1,1100,1.61,29344329300,5497918716000,78993085,103689,18.59,0.67,3743,5.32,3700
62,161390,한국타이어앤테크놀로지,44350,2,-450,-1.0,16385832050,5493859310150,123875069,78306,7.51,0.57,5904,2.93,1300
63,450080,에코프로머티,79500,2,-3200,-3.87,27444632900,5484324831000,68985218,11584,935.29,6.86,85,0.0,0
64,009830,한화솔루션,31650,2,-750,-2.31,72204481550,5440398764400,171892536,45654,0.0,0.69,0,0.95,300
65,022100,포스코DX,35700,2,-1650,-4.42,26322382100,5427639825300,152034729,3026,59.01,11.8,605,0.28,100
66,097950,CJ제일제당,360000,2,-5000,-1.37,15379098000,5419506960000,15054186,446325,14.95,0.81,24081,1.53,5500
67,011790,SKC,141000,1,1300,0.93,280230037000,5339430018000,37868298,41484,0.0,3.4,0,0.0,0
68,034220,LG디스플레이,10130,2,-320,-3.06,11004385760,5065000000000,500000000,18682,0.0,0.54,0,0.0,0
69,001570,금양,80900,2,-3600,-4.26,34650293700,4696247993300,58050037,3377,0.0,23.96,0,0.0,0
70,029780,삼성카드,40450,1,250,0.62,3060580400,4686492140950,115858891,76243,7.08,0.53,5711,6.18,2500
71,028050,삼성E&A,23800,2,-200,-0.83,17855329400,4664800000000,196000000,17721,6.19,1.34,3846,0.0,0
72,011170,롯데케미칼,106900,2,-8500,-7.37,38352293600,4572692291100,42775419,368608,0.0,0.29,0,3.27,3500
73,006800,미래에셋증권,7330,2,-130,-1.74,4761898680,4363669270640,595316408,18281,13.8,0.4,531,2.05,150
74,377300,카카오페이,32200,2,-500,-1.53,6346944400,4331815929000,134528445,13981,1694.74,2.3,19,0.0,0
75,032640,LG유플러스,9780,3,0,0.0,5967368190,4270059110580,436611361,19711,6.75,0.5,1449,6.65,650
76,036570,엔씨소프트,194300,2,-1100,-0.56,16591427100,4265666474600,21954022,160025,18.6,1.21,10446,1.61,3130
